0,id,name,url,phone,latitude,longitude,address,city,postal_code
1,hot-dog-bills-san-francisco,Hot Dog Bill's,http://www.yelp.com/biz/hot-dog-bills-san-francisco,,599 Skyline Blvd,San Francisco,94132,37.7087111,-122.4949408
2,one-way-mission-daly-city,One Way Mission,http://www.yelp.com/biz/one-way-mission-daly-city,4154698358,6019 Mission St,Daly City,94014,37.7078267,-122.4554171
3,gateway-kitchen-daly-city,Gateway Kitchen,http://www.yelp.com/biz/gateway-kitchen-daly-city,4152398371,6165 Mission St,Daly City,94014,37.7068634,-122.4580239
4,tselogs-daly-city,Tselogs,http://www.yelp.com/biz/tselogs-daly-city,4153374670,6055 Mission St,Daly City,94014,37.7076071,-122.4558142
5,little-hunan-restaurant-daly-city,Little Hunan Restaurant,http://www.yelp.com/biz/little-hunan-restaurant-daly-city,4153333887,6127 Mission St,Daly City,94014,37.7072516,-122.4571098
6,claires-pastries-and-restaurant-daly-city,Claire's Pastries and Restaurant,http://www.yelp.com/biz/claires-pastries-and-restaurant-daly-city,6507584500,6259 Mission St,Daly City,94014,37.7062782,-122.4604008
7,pulutan-daly-city,Pulutan,http://www.yelp.com/biz/pulutan-daly-city,4154945076,6123 Mission St,Daly City,94014,37.707135,-122.457192
8,mi-casa-daly-city,Mi Casa,http://www.yelp.com/biz/mi-casa-daly-city,4153378780,5997 Mission St,Daly City,94014,37.707894,-122.454596
9,maynila-restaurant-daly-city,Maynila Restaurant,http://www.yelp.com/biz/maynila-restaurant-daly-city,4153494739,6233  Mission St,Daly City,94014,37.706512,-122.45966
10,pauls-at-the-villa-san-mateo,Paul's at the Villa,http://www.yelp.com/biz/pauls-at-the-villa-san-mateo,6502122643,4000 El Camino Real,San Mateo,94403,37.7066832,-122.4607402
11,round-table-pizza-daly-city-2,Round Table Pizza,http://www.yelp.com/biz/round-table-pizza-daly-city-2,6509913339,6222 Mission St,Daly City,94014,37.7065504,-122.4599978
12,aguila-de-oro-2-daly-city-2,Aguila de Oro 2,http://www.yelp.com/biz/aguila-de-oro-2-daly-city-2,,6123 Mission St,Daly City,94014,37.707135,-122.457192
13,cafe-durango-daly-city,Cafe Durango,http://www.yelp.com/biz/cafe-durango-daly-city,6509925811,6286 Mission St,Daly City,94014,37.7059382,-122.4616703
14,pamonhas-daly-city,Pamonha's,http://www.yelp.com/biz/pamonhas-daly-city,4155854828,6005 Mission St,Daly City,94014,37.7077851,-122.4552422
15,kabalen-delicacies-cuisine-daly-city,Kabalen Delicacies Cuisine,http://www.yelp.com/biz/kabalen-delicacies-cuisine-daly-city,4157060206,6233 Mission Street,Daly City,94014,37.706512,-122.45966
16,mas-cafe-daly-city,Ma's Cafe,http://www.yelp.com/biz/mas-cafe-daly-city,4153331167,5999 Mission St,Daly City,94014,37.7078599,-122.454676
17,little-yangon-daly-city,Little Yangon,http://www.yelp.com/biz/little-yangon-daly-city,6509940111,6318 Mission St,Daly City,94014,37.705664,-122.4620291
18,yumi-deli-daly-city,Yumi Deli,http://www.yelp.com/biz/yumi-deli-daly-city,6507576302,6303 Mission St,Daly City,94014,37.7056717,-122.4613538
19,sweet-princess-bakery-and-restaurant-daly-city,Sweet Princess Bakery & Restaurant,http://www.yelp.com/biz/sweet-princess-bakery-and-restaurant-daly-city,4153331167,5999 Mission St,Daly City,94014,37.7078599,-122.454676
20,auroras-restaurant-daly-city,Aurora's Restaurant,http://www.yelp.com/biz/auroras-restaurant-daly-city,4155845944,6185 Mission Street,Daly City,94014,37.7067787,-122.4584699
21,mekeni-restaurant-and-karaoke-bar-daly-city,Mekeni Restaurant & Karaoke Bar,http://www.yelp.com/biz/mekeni-restaurant-and-karaoke-bar-daly-city,6509926020,6339 Mission St,Daly City,94014,37.7054069,-122.4616347
22,gee-yin-daly-city,Gee Yin,http://www.yelp.com/biz/gee-yin-daly-city,6507565610,6288 Mission St,Daly City,94014,37.706334,-122.461663
23,thai-power-daly-city,Thai Power,http://www.yelp.com/biz/thai-power-daly-city,4153335437,6057 Mission Street,Daly City,94014,37.707469,-122.455833
24,pampangas-cuisine-daly-city-2,Pampanga's Cuisine,http://www.yelp.com/biz/pampangas-cuisine-daly-city-2,4152396030,5997 Mission St,Daly City,94014,37.707894,-122.454596
25,romos-taqueria-daly-city,Romo's Taqueria,http://www.yelp.com/biz/romos-taqueria-daly-city,4153337875,6123 Mission St,Daly City,94014,37.707135,-122.457192
26,tao-yin-restaurant-daly-city,Tao Yin Restaurant,http://www.yelp.com/biz/tao-yin-restaurant-daly-city,6507565610,6288 Mission St,Daly City,94014,37.7059419,-122.4616966
27,pacific-restaurant-daly-city-2,Pacific Restaurant,http://www.yelp.com/biz/pacific-restaurant-daly-city-2,6509945058,6356 Mission St,Daly City,94014,37.7054145,-122.4621951
